PSD Template To Use,Images #logo,Images #back,Images #3,Text #t1,Text #t2,Text #t3,Save
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,"One is never"" over-dressed or under-dressed ""wi'th a Little Black Dress.",Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,"One is never over-dr;es,sed or under-dressed with a Little Black Dress.",Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,"One is never over-dressed or /under-dresse,d with a Little Black Dress.",Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed \or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Design.psd,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #1/3.jpg,C:/Photoshop SCRIPT JOB/Inputs/BATCH 1/Images #2/3.jpg,,One is never over-dressed or under-dressed with a Little Black Dress.,Peter Krein,,C:/Photoshop SCRIPT JOB/Generated Images/BATCH 2
